,BATCH,source_name,tissue,age,treatment,genotype,lab,age,health state,cell_type,tissue_type,provider,sex
SRX1149734,,mouse pancreatic cancer cell line,,,,Pdx1-Cre;LSL-KrasG12D;Cdkn2a fl/fl;Smad4 fl/fl,,,,KSIC_c806,,,
SRX1149735,,mouse pancreatic cancer cell line,,,,Pdx1-Cre;LSL-KrasG12D;Cdkn2a fl/fl;Smad4 fl/fl,,,,KSIC_c806,,,
SRX114976,,DP H3K27me3,,,,,,,,,,,
SRX114977,,DP H3K27me3,,,,,,,,,,,
SRX114978,,DP H3K4me3,,,,,,,,,,,
SRX114979,,DP H3K4me3,,,,,,,,,,,
SRX114980,,DP H3K9ac,,,,,,,,,,,
SRX114981,,DP H3K9ac,,,,,,,,,,,
SRX114982,,DP mnase input,,,,,,,,,,,
SRX114983,,DP mnase input,,,,,,,,,,,
SRX114984,,T-ALL H3K27me3,,,,,,,,,,,
SRX114985,,T-ALL H3K27me3,,,,,,,,,,,
SRX114986,,T-ALL H3K4me3,,,,,,,,,,,
SRX114987,,T-ALL H3K4me3,,,,,,,,,,,
SRX114988,,T-ALL H3K9ac,,,,,,,,,,,
SRX114989,,T-ALL H3K9ac,,,,,,,,,,,
SRX114990,,T-ALL mnase input,,,,,,,,,,,
SRX114991,,T-ALL mnase input,,,,,,,,,,,
SRX114992,,T-ALL Notch1,,,,,,,,,,,
SRX114993,,T-ALL sonicated input,,,,,,,,,,,
SRX114997,,E14 embryonic stem cells,,,,,,,,,,,
SRX114998,,E14 embryonic stem cells,,,,,,,,,,,
SRX115001,,E14 embryonic stem cells,,,,,,,,,,,
SRX1150169,,patient-derived colon cancer cell line,,,,,,,,,,,male
SRX1150170,,patient-derived colon cancer cell line induced with DACOR1,,,,,,,,,,,male
SRX1150333,,,Ovaries,,,,,,,,Ovaries,,female
SRX1150354,,,Ovaries,,,,,,,,Ovaries,,female
SRX1150356,,,Ovaries,,,,,,,,Ovaries,,female
SRX1150357,,,Ovaries,,,,,,,,Ovaries,,female
SRX1150358,,,ovaries,,,,,,,,ovaries,,female
SRX1150359,,,ovaries,,,,,,,,ovaries,,female
SRX1150370,,liver,,,,,,,,,,,
SRX1150371,,liver,,,,,,,,,,,
SRX1150372,,liver,,,,,,,,,,,
SRX1150373,,liver,,,,,,,,,,,
SRX1150374,,liver,,,,,,,,,,,
SRX1150375,,liver,,,,,,,,,,,
SRX1150376,,liver,,,,,,,,,,,
SRX1150377,,liver,,,,,,,,,,,
SRX1150378,,liver,,,,,,,,,,,
SRX1150380,,liver,,,,,,,,,,,
SRX1150381,,liver,,,,,,,,,,,
SRX1150382,,liver,,,,,,,,,,,
SRX1150383,,liver,,,,,,,,,,,
SRX1150384,,liver,,,,,,,,,,,
SRX1150385,,liver,,,,,,,,,,,
SRX1150802,,,liver,8 weeks,,,,8 weeks,,,liver,,male
SRX1151230,,,ovaries,,,,,,,,ovaries,,female
SRX1151231,,,ovaries,,,,,,,,ovaries,,female
SRX115144,,embryonic stem cells,,,,,,,,,,,
SRX115145,,embryonic stem cells,,,,,,,,,,,
SRX115146,,neuronal progenitor cells,,,,,,,,,,,
SRX115147,,neuronal progenitor cells,,,,,,,,,,,
SRX115148,,embryonic stem cells,,,,,,,,,,,
SRX115149,,embryonic stem cells,,,,,,,,,,,
SRX115150,,embryonic stem cells,,,,,,,,,,,
SRX115151,,embryonic stem cells,,,,,,,,,,,
SRX115153,,,,,,,,,,,,,
SRX115154,,,,,,,,,,,,,
SRX115176,,,,,,,,,,,,,
SRX115358,,MEF_STAT5-WT-GH-IP,,,,,,,,,12.5-13.5-day fetuses,,
SRX115359,,MEF_STAT5-WT-GH-IgG,,,,,,,,,12.5-13.5-day fetuses,,
SRX115360,,MEF_STAT5-OE-IP,,,,,,,,,12.5-13.5-day fetuses,,
SRX115361,,MEF_STAT5-OE-IgG,,,,,,,,,12.5-13.5-day fetuses,,
SRX115362,,MEF_STAT5-OE-GH-IP,,,,,,,,,12.5-13.5-day fetuses,,
SRX115363,,MEF_STAT5-OE-GH-IgG,,,,,,,,,12.5-13.5-day fetuses,,
SRX115364,,MEF_STAT5-KO-GH-IP,,,,,,,,,12.5-13.5-day fetuses,,
SRX115365,,MEF_STAT5-KO-GH-IgG,,,,,,,,,12.5-13.5-day fetuses,,
SRX115366,,MEF_STAT5-KO-empty-GH-IP,,,,,,,,,12.5-13.5-day fetuses,,
SRX115367,,MEF_STAT5-KO-empty-GH-IgG,,,,,,,,,12.5-13.5-day fetuses,,
SRX115368,,MEF_STAT5-OE-IP,,,,,,,,,12.5-13.5-day fetuses,,
SRX115369,,MEF_STAT5-OE-GH-IP,,,,,,,,,12.5-13.5-day fetuses,,
SRX115370,,,,,,,,,,,,,
SRX115371,,,,,,,,,,,,,
SRX115372,,,,,,,,,,,,,
SRX115373,,,,,,,,,,,,,
SRX115374,,,,,,,,,,,,,
SRX115375,,,,,,,,,,,,,
SRX115549,,"leukemic spleen cells, primary, WT, H3K27me3 ChIP",,,,,,,,,,,
SRX115550,,"leukemic spleen cells, primary, Ezh2-null, H3K27me3 ChIP",,,,,,,,,,,
SRX115551,,"leukemic spleen cells, secondary, WT, H3K27me3 ChIP",,,,,,,,,,,
SRX115552,,"leukemic spleen cells, secondary, Ezh2-null, H3K27me3 ChIP",,,,,,,,,,,
SRX115554,,Growing C1C12 myoblasts,,,,,,,,,,,
SRX115555,,Growing C1C12 myoblasts,,,,,,,,,,,
SRX115556,,Growing C1C12 myoblasts,,,,,,,,,,,
SRX115557,,C1C12 myotubes differentiated for 96h,,,,,,,,,,,
SRX115558,,C1C12 myotubes differentiated for 96h,,,,,,,,,,,
SRX115559,,C1C12 myotubes differentiated for 96h,,,,,,,,,,,
SRX1155596,,E13.5 Mouse Brain,E13.5 mouse brain,,,,,,,,E13.5 mouse brain,,
SRX1155597,,E13.5 Mouse Brain,E13.5 mouse brain,,,,,,,,E13.5 mouse brain,,
SRX1155598,,E13.5 Mouse Brain,E13.5 mouse brain,,,,,,,,E13.5 mouse brain,,
SRX1155599,,E13.5 Mouse Brain,E13.5 mouse brain,,,,,,,,E13.5 mouse brain,,
SRX1155600,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155601,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155602,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155603,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155604,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155605,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155606,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155607,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155608,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155609,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155610,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155611,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155612,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155613,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155614,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155615,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155616,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155617,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155618,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155619,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155620,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155621,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155622,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155623,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155624,,TauEGFP MEFs,embryonic fibroblasts,,,,,,,,embryonic fibroblasts,,
SRX1155769,,Liver,liver,,,,,,,,liver,,
SRX1155968,,HCT116,,,,,,,,,,,
SRX1155969,,HCT116,,,,,,,,,,,
SRX1155970,,HCT116,,,,,,,,,,,
SRX1155971,,HCT116,,,,,,,,,,,
SRX1155972,,HCT116,,,,,,,,,,,
SRX1155973,,HCT116,,,,,,,,,,,
SRX1155974,,HCT116,,,,,,,,,,,
SRX1155975,,HCT116,,,,,,,,,,,
SRX1156465,,H3.3B-HA tagged human embryonic stem cells,,,,,,,,,,,
SRX1156466,,H3.3B-HA tagged human embryonic stem cells,,,,,,,,,,,
SRX1156467,,H3.3B-HA tagged human embryonic stem cells,,,,,,,,,,,
SRX1156468,,H3.3B-HA tagged human embryonic stem cells,,,,,,,,,,,
SRX1156469,,H3.3B-HA tagged human embryonic stem cells,,,,,,,,,,,
SRX1156470,,H3.3B-HA tagged human embryonic stem cells,,,,,,,,,,,
SRX1156472,,MDA-MB-231,,,,,,,,,,,
SRX1156473,,MDA-MB-231,,,,,,,,,,,
SRX1156474,,MDA-MB-231,,,,,,,,,,,
SRX1156475,,MDA-MB-231,,,,,,,,,,,
SRX1156552,,Mouse skin SCC,,,,,,,,,,,female
SRX1156553,,Mouse skin SCC,,,,,,,,,,,female
SRX1156554,,Mouse skin SCC,,,,,,,,,,,female
SRX1156555,,Mouse skin SCC,,,,,,,,,,,female
SRX1156595,,bone marrow,,65 days (pIpC at 42 days),,Bap1 f/f,,65 days (pIpC at 42 days),,,,,
SRX1156596,,bone marrow,,65 days (pIpC at 42 days),,Bap1 f/f,,65 days (pIpC at 42 days),,,,,
SRX1156597,,bone marrow,,65 days (pIpC at 42 days),,Bap1 f/f,,65 days (pIpC at 42 days),,,,,
SRX1156598,,bone marrow,,65 days (pIpC at 42 days),,Bap1 f/f,,65 days (pIpC at 42 days),,,,,
SRX1156599,,bone marrow,,65 days (pIpC at 42 days),,Bap1 f/f,,65 days (pIpC at 42 days),,,,,
SRX1156600,,bone marrow,,65 days (pIpC at 42 days),,MX1+ Cre Bap1 f/f,,65 days (pIpC at 42 days),,,,,
SRX1156601,,bone marrow,,65 days (pIpC at 42 days),,MX1+ Cre Bap1 f/f,,65 days (pIpC at 42 days),,,,,
SRX1156602,,bone marrow,,65 days (pIpC at 42 days),,MX1+ Cre Bap1 f/f,,65 days (pIpC at 42 days),,,,,
SRX1156603,,bone marrow,,65 days (pIpC at 42 days),,MX1+ Cre Bap1 f/f,,65 days (pIpC at 42 days),,,,,
SRX1156604,,bone marrow,,65 days (pIpC at 42 days),,Bap1 f/f,,65 days (pIpC at 42 days),,,,,
SRX1156605,,bone marrow,,65 days (pIpC at 42 days),,MX1+ Cre Bap1 f/f,,65 days (pIpC at 42 days),,,,,
SRX1156635,,PreSertoli cells,Testes,,,,,,,,Testes,,
SRX1158165,,S2 cells,,,,,,,,S2,,,
SRX1158166,,S2 cells,,,,,,,,S2,,,
SRX1158167,,S2 cells,,,,,,,,S2,,,
SRX1158168,,S2 cells,,,,,,,,S2,,,
SRX1158169,,S2 cells,,,,,,,,S2,,,
SRX1158170,,S2 cells,,,,,,,,S2,,,
SRX1158171,,S2 cells,,,,,,,,S2,,,
SRX1158172,,S2 cells,,,,,,,,S2,,,
SRX1158180,,"CUTLL1, ICN1, input",,,,,,,,CUTLL1,,,
SRX1158181,,"CUTLL1, ICN1, H3K27ac ChIP",,,,,,,,CUTLL1,,,
SRX1158182,,"CUTLL1, R1984A, input",,,,,,,,CUTLL1,,,
SRX1158183,,"CUTLL1, R1984A, H3K27ac ChIP",,,,,,,,CUTLL1,,,
SRX1158281,,Embryonic stem cells,,,,,,,,,,,
SRX1158282,,Embryonic stem cells,,,,,,,,,,,
SRX1158283,,Embryonic stem cells,,,,,,,,,,,
SRX1158284,,Embryonic stem cells,,,,,,,,,,,
SRX1158294,,Embryonic stem cells,,,,,,,,,,,
SRX1158295,,Embryonic stem cells,,,,,,,,,,,
SRX1158314,,Embryonic stem cells,,,,,,,,,,,
SRX1158315,,Embryonic stem cells,,,,,,,,,,,
SRX115848,,E14_MacroH2A_ChIPSeq,,,,,,,,E14,,,
SRX115849,,E14_IgG_ChIPSeq,,,,,,,,E14,,,
SRX115871,,NCCIT,,,,,,,,siEGFP-transfected NCCIT,,,
SRX115872,,NCCIT,,,,,,,,siRNF20-transfected NCCIT,,,
SRX115873,,NCCIT,,,,,,,,NCCIT,,,
SRX1158860,,in vivo-generated T follicular helper (Tfh) cells from Bcl6-RFP reporter mice,,,,,,,,,,,
SRX1158861,,in vivo-generated non-T follicular helper (nonTfh) cells from Bcl6-RFP reporter mice,,,,,,,,,,,
SRX1158862,,in vivo-generated T follicular helper (Tfh) cells from Bcl6-RFP reporter mice,,,,,,,,,,,
SRX1158922,,hippocampus,,,,,,,,,,,
SRX1158923,,hippocampus,,,,,,,,,,,
SRX1158924,,hippocampus,,,,,,,,,,,
SRX1158925,,hippocampus,,,,,,,,,,,
SRX1158926,,hippocampus,,,,,,,,,,,
SRX1158927,,hippocampus,,,,,,,,,,,
SRX115966,,Breast cancer cells,,,,,,,,MCF-7,,,
SRX115967,,Breast cancer cells,,,,,,,,MCF-7,,,
SRX115968,,Breast cancer cells,,,,,,,,MCF-7,,,
SRX115969,,Breast cancer cells,,,,,,,,MCF-7,,,
SRX1159815,,Primary Patient Derived Tumor Model,,,,,,,,,,,
SRX1159955,,High fat diet,,,,,,,,,,,male
SRX1159956,,Low fat diet,,,,,,,,,,,male
SRX1159957,,High fat diet,,,,,,,,,,,male
SRX1159958,,Low fat diet,,,,,,,,,,,male
SRX1159959,,High fat diet,,,,,,,,,,,male
SRX1159960,,Low fat diet,,,,,,,,,,,male
SRX1159961,,High fat diet,,,,,,,,,,,male
SRX1159962,,Low fat diet,,,,,,,,,,,male
SRX1159963,,High fat diet,,,,,,,,,,,male
SRX1159964,,Low fat diet,,,,,,,,,,,male
SRX1160438,,Mouse embryonic fibroblasts,,,,Rnf40+/+,,,,,,,
SRX1160439,,Mouse embryonic fibroblasts,,,,Rnf40+/+,,,,,,,
SRX1160445,,Mouse embryonic fibroblasts,,,,Rnf40+/+,,,,,,,
SRX1160446,,Mouse embryonic fibroblasts,,,,Rnf40+/+,,,,,,,
SRX1160447,,Mouse embryonic fibroblasts,,,,Rnf40-/-,,,,,,,
SRX1160448,,Mouse embryonic fibroblasts,,,,Rnf40-/-,,,,,,,
SRX1160449,,Mouse embryonic fibroblasts,,,,Rnf40+/+,,,,,,,
SRX1160450,,Mouse embryonic fibroblasts,,,,Rnf40+/+,,,,,,,
SRX1160451,,Mouse embryonic fibroblasts,,,,Rnf40-/-,,,,,,,
SRX1160452,,Mouse embryonic fibroblasts,,,,Rnf40-/-,,,,,,,
SRX1160453,,Mouse embryonic fibroblasts,,,,Rnf40+/+,,,,,,,
SRX1160454,,Mouse embryonic fibroblasts,,,,Rnf40+/+,,,,,,,
SRX1160455,,Mouse embryonic fibroblasts,,,,Rnf40-/-,,,,,,,
SRX1160456,,Mouse embryonic fibroblasts,,,,Rnf40-/-,,,,,,,
SRX116047,,sciatic nerve at P15,,,,,,,,,,,
SRX116048,,sciatic nerve at P15,,,,,,,,,,,
SRX116049,,sciatic nerve at P15,,,,,,,,,,,
SRX116050,,sciatic nerve at P15,,,,,,,,,,,
SRX116051,,sciatic nerve at P15,,,,,,,,,,,
SRX116052,,sciatic nerve at P16,,,,,,,,,,,
SRX116053,,sciatic nerve at P15,,,,,,,,,,,
SRX116054,,sciatic nerve at P15,,,,,,,,,,,
SRX1161164,,MCF-7 breast cancer cell line,,,untreated,,,,,MCF-7,,,
SRX1161165,,MCF-7 breast cancer cell line,,,untreated,,,,,MCF-7,,,
SRX1161166,,MCF-7 breast cancer cell line,,,Dexamethasone,,,,,MCF-7,,,
SRX1161167,,MCF-7 breast cancer cell line,,,Dexamethasone,,,,,MCF-7,,,
SRX1161168,,MCF-7 breast cancer cell line,,,untreated,,,,,MCF-7,,,
SRX1161169,,MCF-7 breast cancer cell line,,,untreated,,,,,MCF-7,,,
SRX1161170,,MCF-7 breast cancer cell line,,,17兝-estradiol,,,,,MCF-7,,,
SRX1161171,,MCF-7 breast cancer cell line,,,17兝-estradiol,,,,,MCF-7,,,
SRX1161172,,MCF-7 breast cancer cell line,,,untreated,,,,,MCF-7,,,
SRX1161173,,MCF-7 breast cancer cell line,,,untreated,,,,,MCF-7,,,
SRX1161174,,MCF-7 breast cancer cell line,,,Dexamethasone,,,,,MCF-7,,,
SRX1161175,,MCF-7 breast cancer cell line,,,Dexamethasone,,,,,MCF-7,,,
SRX1161176,,MCF-7 breast cancer cell line,,,17兝-estradiol,,,,,MCF-7,,,
SRX1161177,,MCF-7 breast cancer cell line,,,17兝-estradiol,,,,,MCF-7,,,
SRX1161178,,MCF-7 breast cancer cell line,,,Dexamethasone and 17兝-estradiol,,,,,MCF-7,,,
SRX1161179,,ZR-75-1 breast cancer cell line,,,untreated,,,,,ZR-75-1,,,
SRX1161180,,ZR-75-1 breast cancer cell line,,,untreated,,,,,ZR-75-1,,,
SRX1161181,,ZR-75-1 breast cancer cell line,,,Dexamethasone,,,,,ZR-75-1,,,
SRX1161182,,ZR-75-1 breast cancer cell line,,,Dexamethasone,,,,,ZR-75-1,,,
SRX1161183,,ZR-75-1 breast cancer cell line,,,untreated,,,,,ZR-75-1,,,
SRX1161184,,ZR-75-1 breast cancer cell line,,,untreated,,,,,ZR-75-1,,,
SRX1161185,,ZR-75-1 breast cancer cell line,,,17兝-estradiol,,,,,ZR-75-1,,,
SRX1161186,,ZR-75-1 breast cancer cell line,,,17兝-estradiol,,,,,ZR-75-1,,,
SRX1161187,,ZR-75-1 breast cancer cell line,,,untreated,,,,,ZR-75-1,,,
SRX1161188,,ZR-75-1 breast cancer cell line,,,untreated,,,,,ZR-75-1,,,
SRX1161189,,ZR-75-1 breast cancer cell line,,,Dexamethasone,,,,,ZR-75-1,,,
SRX1161190,,ZR-75-1 breast cancer cell line,,,Dexamethasone,,,,,ZR-75-1,,,
SRX1161191,,ZR-75-1 breast cancer cell line,,,17兝-estradiol,,,,,ZR-75-1,,,
SRX1161192,,ZR-75-1 breast cancer cell line,,,17兝-estradiol,,,,,ZR-75-1,,,
SRX1161193,,ZR-75-1 breast cancer cell line,,,Dexamethasone and 17兝-estradiol,,,,,ZR-75-1,,,
SRX1161194,,T-47D breast cancer cell line,,,untreated,,,,,T-47D,,,
SRX1161195,,T-47D breast cancer cell line,,,untreated,,,,,T-47D,,,
SRX1161196,,T-47D breast cancer cell line,,,Dexamethasone,,,,,T-47D,,,
SRX1161197,,T-47D breast cancer cell line,,,Dexamethasone,,,,,T-47D,,,
SRX1161198,,T-47D breast cancer cell line,,,untreated,,,,,T-47D,,,
SRX1161199,,T-47D breast cancer cell line,,,untreated,,,,,T-47D,,,
SRX1161200,,T-47D breast cancer cell line,,,17兝-estradiol,,,,,T-47D,,,
SRX1161201,,T-47D breast cancer cell line,,,17兝-estradiol,,,,,T-47D,,,
SRX1161202,,T-47D breast cancer cell line,,,untreated,,,,,T-47D,,,
SRX1161203,,T-47D breast cancer cell line,,,untreated,,,,,T-47D,,,
SRX1161204,,T-47D breast cancer cell line,,,Dexamethasone,,,,,T-47D,,,
SRX1161205,,T-47D breast cancer cell line,,,Dexamethasone,,,,,T-47D,,,
SRX1161206,,T-47D breast cancer cell line,,,17兝-estradiol,,,,,T-47D,,,
SRX1161207,,T-47D breast cancer cell line,,,17兝-estradiol,,,,,T-47D,,,
SRX1161208,,T-47D breast cancer cell line,,,Dexamethasone and 17兝-estradiol,,,,,T-47D,,,
SRX1161553,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161554,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161555,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161556,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161557,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161558,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161559,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161560,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161561,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161562,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161563,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161564,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161565,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161566,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161567,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161568,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161569,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161570,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161571,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161572,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161573,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161574,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161575,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161576,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161577,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161578,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161579,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161580,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161581,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161582,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161583,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161584,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161585,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161586,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161587,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161588,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161589,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161590,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161591,,,Differentiating cardiomyocyte,,,,,,,,Differentiating cardiomyocyte,,not applicable
SRX1161592,,,Differentiating cardiomyocyte,,,,,,,,Differentiating cardiomyocyte,,not applicable
SRX1161593,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161594,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161595,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161596,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161597,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161598,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161599,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161600,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161601,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161602,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161603,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161604,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161605,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161606,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161607,,,Differentiating cardiomyocyte precursors,,,,,,,,Differentiating cardiomyocyte precursors,,not applicable
SRX1161608,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161609,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161610,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161611,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161612,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161613,,,Differentiating cardiomyocytes,,,,,,,,Differentiating cardiomyocytes,,not applicable
SRX1161711,,human nave CD4+ T-cells differentiated toward Th1 and Th2 until day 6,,,,,,,,,,,
SRX1161712,,human nave CD4+ T-cells differentiated toward Th1 and Th2 until day 6,,,,,,,,,,,
SRX1161713,,human nave CD4+ T-cells differentiated toward Th1 and Th2 until day 6,,,,,,,,,,,
SRX1161714,,human nave CD4+ T-cells differentiated toward Th1 and Th2 until day 6,,,,,,,,,,,
SRX1161715,,human nave CD4+ T-cells differentiated toward Th1 and Th2 until day 6,,,,,,,,,,,
SRX1161716,,human nave CD4+ T-cells differentiated toward Th1 and Th2 until day 6,,,,,,,,,,,
SRX1161717,,human nave CD4+ T-cells differentiated toward Th1 and Th2 until day 6,,,,,,,,,,,
SRX1161718,,human nave CD4+ T-cells differentiated toward Th1 and Th2 until day 6,,,,,,,,,,,
SRX1161719,,human nave CD4+ T-cells differentiated toward Th1 and Th2 until day 6,,,,,,,,,,,
SRX1161720,,human nave CD4+ T-cells differentiated toward Th1 and Th2 until day 6,,,,,,,,,,,
SRX1161721,,human nave CD4+ T-cells differentiated toward Th1 and Th2 until day 6,,,,,,,,,,,
